protein	median_cluster1	median_cluster2	diff	p_value	fdr
STATHMIN	0.08416540650000001	-0.288866802	0.37303220849999996	1.0977124810039581e-31	2.151516462767758e-29
CMET_pY1235	0.562797279	0.424426464	0.13837081499999998	1.7133810679689512e-30	1.679113446609572e-28
BETACATENIN	1.498170792	2.252894758	-0.754723966	8.004906404448463e-28	5.229872184239663e-26
FOXO3A	-0.4927517735	-0.70649686	0.21374508650000001	2.64732742041256e-26	1.2971904360021544e-24
MRE11	0.32112426	0.044641628	0.276482632	2.071168398941222e-24	8.118980123849591e-23
CYCLINE1	-0.948951329	-1.300750728	0.3517993989999999	2.8452489097519983e-24	9.294479771856527e-23
CHK2_pT68	-0.5768284130000001	-0.883563774	0.3067353609999999	5.687029241561347e-24	1.5923681876371773e-22
P53	-1.336318541	-1.747785318	0.411466777	1.2448234071625949e-22	3.0498173475483575e-21
RBM15	1.1070400235	1.675733826	-0.5686938025000001	5.482439157024872e-22	1.1021580340494797e-20
GATA3	0.046840358	-0.277401314	0.324241672	5.623255275762652e-22	1.1021580340494797e-20
P21	0.5122897035	0.21418066	0.2981090435	1.1888402323890594e-21	2.1182971413477783e-20
CHK1_pS345	-0.2589852885	-0.482011152	0.22302586349999998	7.862920574622527e-21	1.2304844742948927e-19
ATM	1.257803747	2.157688841	-0.899885094	8.161376615221227e-21	1.2304844742948927e-19
BAK	2.0081838835	1.507512283	0.5006716005	1.1587368123680337e-20	1.6222315373152473e-19
X1433BETA	-0.38615618549999997	-0.530087858	0.14393167250000005	1.3125622979228267e-20	1.6749047808702068e-19
BCLXL	-0.021697054	-0.353916012	0.332218958	1.3672692088736382e-20	1.6749047808702068e-19
P27_pT157	-0.12486697349999999	-0.262752795	0.1378858215	1.596578449921159e-20	1.8407610363796892e-19
YAP	0.613997095	0.346089018	0.26790807699999997	4.0246597983535174e-20	4.382407335984942e-19
VHL	-0.8829284305	0.951232732	-1.8341611625	6.680763398715784e-20	6.796679569959102e-19
X1433EPSILON	-0.5803687005	-0.754368843	0.17400014249999995	6.935387316284798e-20	6.796679569959102e-19
