gene_id	gene_symbol	median_cluster1	median_cluster2	diff	p_value	fdr
SAA1|6288	SAA1	7.085979895237493	3.808189382814099	3.277790512423394	7.208447798156444e-5	9.522491288452358e-4
LOC100271831|100271831	LOC100271831	3.132622010295055	0	3.132622010295055	0.004771602243679412	0.02233295240693431
SAA2|6289	SAA2	5.018019279100662	2.2753646961504366	2.742654582950226	1.2671087488831094e-5	2.6684440020703816e-4
SLPI|6590	SLPI	7.397215224749232	4.984680484252186	2.412534740497046	1.3067011009831442e-6	5.018029768822936e-5
MOCOS|55034	MOCOS	7.0776197990316625	4.823209267437361	2.254410531594302	1.909646695571136e-6	6.561533077244253e-5
GAD1|2571	GAD1	5.4354508669932065	3.212678276110899	2.2227725908823075	4.7073510356992915e-5	7.030802233245924e-4
SPTBN2|6712	SPTBN2	6.5717208838238	4.645355812948295	1.9263650708755051	9.876321153732395e-6	2.2432882997669608e-4
SLC4A3|6508	SLC4A3	6.015846154764969	4.099522448785759	1.9163237059792095	2.2285794706041323e-6	7.381667974809562e-5
CCNO|10309	CCNO	4.043213333354254	2.1536108022844322	1.889602531069822	4.3585821261666483e-7	2.21075150549776e-5
SLC6A20|54716	SLC6A20	5.500709820056391	3.647268453104383	1.8534413669520085	0.08344651247222795	0.18566298586334096
LCN2|3934	LCN2	3.3703764096079185	1.5325663232675124	1.837810086340406	7.221646227753727e-9	1.3532562625674066e-6
PSAT1|29968	PSAT1	8.586765459105873	6.79819311776128	1.7885723413445929	2.1045614998118703e-7	1.3105266348674657e-5
UCHL1|7345	UCHL1	7.965575660137066	6.259038924810024	1.7065367353270418	2.6205422654983773e-6	8.431563492711632e-5
CYP11A1|1583	CYP11A1	2.470777559908825	0.7895206036003115	1.6812569563085136	2.595246352636473e-6	8.363470650423079e-5
PPP1R1A|5502	PPP1R1A	7.290864754774235	5.6344248280326354	1.6564399267415997	0.0014318609951611996	0.009033043273089887
PI3|5266	PI3	3.0981417535501263	1.444879056415559	1.6532626971345674	1.0702930843170126e-4	0.0012779109994340827
EEF1A2|1917	EEF1A2	5.098040739478533	3.450313888778375	1.647726850700158	2.6729073341976025e-4	0.002546812553177546
ASAM|79827	ASAM	3.897411517941011	2.275960580278064	1.6214509376629471	2.5655761114164628e-5	4.522833566450033e-4
FA2H|79152	FA2H	5.0878569716933	3.5274081929485264	1.560448778744774	1.5447818448234078e-5	3.080127583796663e-4
SAA4|6291	SAA4	2.098427703827883	0.5394318114348329	1.5589958923930503	8.056368049908176e-6	1.9091894214758978e-4
NMU|10874	NMU	2.2362441693963544	0.685805625154268	1.5504385442420863	5.301547117412829e-4	0.004256896726053383
PCBP3|54039	PCBP3	4.05287544534314	2.517124485805643	1.5357509595374972	6.881117650708702e-4	0.0051846634033895275
PITX1|5307	PITX1	2.7085511579343735	1.1875143981928162	1.5210367597415573	8.244989003453438e-6	1.9425155698706714e-4
XK|7504	XK	4.825760599822498	3.347368016603692	1.478392583218806	2.0870549270848018e-5	3.857334941949061e-4
SERPINA5|5104	SERPINA5	6.317847250091071	4.872562845841717	1.445284404249354	2.8165705363376033e-6	8.892629409422842e-5
LIPH|200879	LIPH	4.084701961059521	2.6457247120066745	1.4389772490528463	9.161346942032982e-5	0.0011409682425406983
TRNP1|388610	TRNP1	6.480307049990226	5.0627175296970846	1.4175895202931414	2.1844812027135099e-7	1.3478515420889029e-5
ATP6V0D2|245972	ATP6V0D2	4.401887913401641	3.000631041050222	1.4012568723514187	2.1295804519768486e-4	0.0021474065364777014
MAT1A|4143	MAT1A	4.006950827552375	2.6164282772193452	1.3905225503330296	0.0018646890191750152	0.0110764826445741
FOXA1|3169	FOXA1	2.5412267563184767	1.1585955515008968	1.38263120481758	0.0019108035889400068	0.011264445975230951
