protein	median_cluster1	median_cluster2	diff	p_value	fdr
STATHMIN	0.08416540650000001	-0.288866802	0.37303220849999996	1.0977124810039581e-31	2.151516462767758e-29
CMET_pY1235	0.562797279	0.424426464	0.13837081499999998	1.7133810679689512e-30	1.679113446609572e-28
FOXO3A	-0.4927517735	-0.70649686	0.21374508650000001	2.64732742041256e-26	1.2971904360021544e-24
MRE11	0.32112426	0.044641628	0.276482632	2.071168398941222e-24	8.118980123849591e-23
CYCLINE1	-0.948951329	-1.300750728	0.3517993989999999	2.8452489097519983e-24	9.294479771856527e-23
CHK2_pT68	-0.5768284130000001	-0.883563774	0.3067353609999999	5.687029241561347e-24	1.5923681876371773e-22
P53	-1.336318541	-1.747785318	0.411466777	1.2448234071625949e-22	3.0498173475483575e-21
GATA3	0.046840358	-0.277401314	0.324241672	5.623255275762652e-22	1.1021580340494797e-20
P21	0.5122897035	0.21418066	0.2981090435	1.1888402323890594e-21	2.1182971413477783e-20
CHK1_pS345	-0.2589852885	-0.482011152	0.22302586349999998	7.862920574622527e-21	1.2304844742948927e-19
BAK	2.0081838835	1.507512283	0.5006716005	1.1587368123680337e-20	1.6222315373152473e-19
X1433BETA	-0.38615618549999997	-0.530087858	0.14393167250000005	1.3125622979228267e-20	1.6749047808702068e-19
BCLXL	-0.021697054	-0.353916012	0.332218958	1.3672692088736382e-20	1.6749047808702068e-19
P27_pT157	-0.12486697349999999	-0.262752795	0.1378858215	1.596578449921159e-20	1.8407610363796892e-19
YAP	0.613997095	0.346089018	0.26790807699999997	4.0246597983535174e-20	4.382407335984942e-19
X1433EPSILON	-0.5803687005	-0.754368843	0.17400014249999995	6.935387316284798e-20	6.796679569959102e-19
RAD51	-0.6656947655000001	-1.125162364	0.45946759849999985	1.9440161492684969e-19	1.814415072650597e-18
CHK1	-0.3147356445	-0.507214529	0.19247888449999995	2.0548135014747825e-19	1.830652028586624e-18
PCNA	-1.1069870455	-1.344877723	0.23789067750000004	2.1688975947747677e-18	1.574458994725387e-17
CD49B	-0.4791429655	-0.747729583	0.2685866175	2.9749233932671126e-16	1.8221405783761065e-15
